,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,mahebourg,75,MU,1547683200,88,78.8,-20.41,57.7,3.36
1,punta arenas,75,CL,1547683200,61,48.2,-53.16,-70.91,21.92
2,hobart,75,AU,1547683200,77,66.2,-42.88,147.33,4.7
3,kaupanger,68,NO,1547685572,100,17.21,61.18,7.24,1.72
4,safranbolu,92,TR,1547685573,97,33.05,41.25,32.69,4.41
5,hilo,75,US,1547682780,54,78.08,19.71,-155.08,13.87
6,dhidhdhoo,0,MV,1547685301,100,81.2,6.88,73.1,1.83
7,albany,75,US,1547682840,51,32.0,42.65,-73.75,20.8
8,mitzic,68,GA,1547685574,95,72.87,0.78,11.55,2.06
9,ushuaia,40,AR,1547683200,57,48.2,-54.81,-68.31,26.4
10,klyuchevskiy,12,RU,1547685574,39,-26.9,53.53,119.45,2.39
11,rikitea,56,PF,1547685183,99,80.61,-23.12,-134.97,10.0
12,ruzhyn,12,UA,1547685575,83,17.21,49.72,29.2,6.42
13,sag,0,RO,1547685000,52,41.0,45.65,21.18,18.34
14,hermanus,0,ZA,1547685188,93,61.26,-34.42,19.24,4.07
15,joshimath,76,IN,1547685576,99,12.71,30.57,79.57,1.28
16,ocho rios,75,JM,1547683200,65,77.0,18.41,-77.1,4.7
17,busselton,68,AU,1547684885,100,66.93,-33.64,115.35,9.78
18,cabedelo,0,BR,1547683200,83,78.8,-6.97,-34.84,9.17
19,lagoa,40,PT,1547683200,81,53.6,37.14,-8.45,5.82
20,new norfolk,75,AU,1547683200,77,66.2,-42.78,147.06,4.7
21,berea,90,US,1547684700,65,28.94,41.37,-81.85,10.29
22,mataura,68,NZ,1547685187,89,63.42,-46.19,168.86,7.76
23,kondopoga,80,RU,1547683200,92,21.2,62.21,34.27,6.71
24,saint-philippe,1,CA,1547683200,55,13.64,45.36,-73.48,16.11
25,gamba,0,CN,1547685270,39,-24.11,28.28,88.52,2.39
26,nadvoitsy,88,RU,1547685579,88,22.47,63.89,34.27,5.19
27,padang,20,ID,1547683200,88,75.2,-0.92,100.36,2.24
28,torbay,90,CA,1547683200,85,23.0,47.66,-52.73,6.93
29,danbury,90,US,1547682840,49,39.92,41.39,-73.45,10.29
30,aklavik,40,CA,1547683200,75,-14.81,68.22,-135.01,5.82
31,totma,76,RU,1547685580,88,20.27,59.98,42.76,11.23
32,arraial do cabo,20,BR,1547679600,83,78.8,-22.97,-42.02,4.7
33,kupang,75,ID,1547683200,70,86.0,-10.16,123.6,5.82
34,saint george,0,GR,1547682600,59,37.4,39.45,22.34,4.7
35,ayame,0,CI,1547685581,95,78.18,5.61,-3.16,5.97
36,kudahuvadhoo,68,MV,1547685348,100,80.88,2.67,72.89,12.01
37,naze,40,NG,1547683200,94,78.8,5.43,7.07,6.42
38,dongsheng,0,CN,1547685582,75,22.92,29.72,112.52,2.95
39,darab,64,IR,1547685582,67,44.16,28.75,54.55,4.41
40,mahon,20,IE,1547685000,80,41.0,51.89,-8.4,24.16
41,avarua,75,CK,1547683200,62,86.0,-21.21,-159.78,12.75
42,hasaki,20,JP,1547683200,44,41.0,35.73,140.83,3.36
43,longyearbyen,40,NO,1547682600,71,6.8,78.22,15.63,11.41
44,georgetown,20,GY,1547683200,94,80.6,6.8,-58.16,6.93
45,dunedin,64,NZ,1547685056,80,67.7,-45.87,170.5,4.18
46,san lawrenz,75,MT,1547684100,71,55.4,36.06,14.2,9.17
47,tacuarembo,0,UY,1547685584,83,72.87,-31.73,-55.98,4.63
48,hofn,0,IS,1547684656,100,29.36,64.25,-15.21,5.75
49,atagay,76,RU,1547685585,75,9.06,55.1,99.39,3.74
50,zhezkazgan,76,KZ,1547685585,90,18.78,47.8,67.71,6.76
51,ribeira grande,64,PT,1547685191,100,60.59,38.52,-28.7,4.52
52,kapaa,20,US,1547682960,42,80.96,22.08,-159.32,19.46
53,coahuayana,56,MX,1547685333,33,78.09,18.62,-100.35,2.17
54,pevek,36,RU,1547685306,86,-5.84,69.7,170.27,13.69
55,kimbe,8,PG,1547685586,98,83.94,-5.56,150.15,3.18
56,ilinskoye-khovanskoye,75,RU,1547683200,79,23.0,56.97,39.77,8.95
